Ссылка,Цена,Количество комнат,Тип дома,Год постройки,Этаж,Этажность,"Площадь, м2",Балкон,Санузел,Потолки,Квартира мебелирована,Состояние квартиры,Район
https://krisha.kz//a/show/687812831,26571360.0,3.0,монолитный,2024.0,,,67.44,,,,,, Есильский р-н
https://krisha.kz//a/show/687637479,20706980.0,2.0,монолитный,2023.0,,,49.42,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/687604341,59275210.0,3.0,монолитный,2021.0,,,102.73,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687829807,60512400.0,3.0,монолитный,2024.0,,,93.6,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/685040098,22434060.0,2.0,монолитный,2024.0,,,53.67,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/684999475,25584150.0,3.0,монолитный,2024.0,,,67.15,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/684969696,39074070.0,3.0,кирпичный,2024.0,,,97.93,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687691691,96477810.0,5.0,монолитный,2024.0,,,172.59,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/692276634,63479420.0,3.0,монолитный,2023.0,,,80.66,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/678611560,13163550.0,1.0,монолитный,2023.0,,,34.55,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/678641376,37520190.0,2.0,монолитный,2023.0,,,69.87,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687844369,45791460.0,3.0,монолитный,2023.0,,,77.22,,2 с/у и более,,,,
https://krisha.kz//a/show/668265758,44057960.0,3.0,монолитный,2024.0,,,79.96,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/665869433,27336540.0,2.0,монолитный,2024.0,,,46.97,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/661368256,32255160.0,2.0,монолитный,2024.0,,,53.58,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/684900285,52975230.0,3.0,монолитный,2024.0,,,94.43,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/665990151,18861600.0,1.0,монолитный,2023.0,,,40.65,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/688421082,10863400.0,1.0,кирпичный,2024.0,,,37.46,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/685378105,19509100.0,1.0,монолитный,2024.0,,,45.37,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/692473838,20829476.0,2.0,кирпичный,2024.0,,,60.12,,совмещенный,,,, Сарыарка р-н
https://krisha.kz//a/show/691924181,130395000.0,4.0,монолитный,2024.0,,,173.86,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/691711674,23603400.0,1.0,монолитный,2024.0,,,50.22,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/691592297,7960800.0,1.0,кирпичный,2025.0,,,33.17,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/691213116,110227500.0,3.0,монолитный,2023.0,,,159.75,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/690129717,18691200.0,1.0,монолитный,2024.0,,,42.48,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/689938403,36270000.0,3.0,монолитный,2022.0,,,93.0,,раздельный,,,, Сарыарка р-н
https://krisha.kz//a/show/691213714,19227700.0,1.0,монолитный,2024.0,,,40.91,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/675496680,85521540.0,4.0,монолитный,2023.0,,,171.73,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/689144127,50784800.0,3.0,монолитный,2023.0,,,87.56,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/687985254,39334300.0,3.0,монолитный,2024.0,,,83.69,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/687325736,22750000.0,1.0,кирпичный,2024.0,,,45.5,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/687015011,19786600.0,1.0,монолитный,2024.0,,,48.26,,,,,, Нура р-н
https://krisha.kz//a/show/685968309,52481115.0,3.0,монолитный,2024.0,,,102.6,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687240604,24847200.0,3.0,монолитный,2024.0,,,78.88,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/683999305,12244400.0,1.0,кирпичный,2024.0,,,43.73,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/680907001,53200000.0,3.0,монолитный,2023.0,,,90.9,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/679156766,44849000.0,3.0,монолитный,2022.0,,,104.3,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/678646995,40744200.0,3.0,кирпичный,2024.0,,,97.01,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687583064,15432300.0,1.0,монолитный,2023.0,,,39.57,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/680529262,20267600.0,1.0,кирпичный,2023.0,,,44.06,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/677885335,24138400.0,1.0,монолитный,2022.0,,,54.86,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/682022324,24845800.0,2.0,монолитный,2022.0,,,62.3,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/679184615,33348000.0,2.0,монолитный,2023.0,,,79.4,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/681056949,17096858.0,1.0,монолитный,2024.0,,,42.88,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/684829442,23754000.0,2.0,кирпичный,2023.0,,,64.2,,раздельный,,,, Алматы р-н
https://krisha.kz//a/show/674013898,26376000.0,2.0,монолитный,2024.0,,,65.94,,совмещенный,,,, Сарыарка р-н
https://krisha.kz//a/show/676129341,39732000.0,3.0,монолитный,2023.0,,,90.3,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/673201584,16883200.0,2.0,монолитный,2024.0,,,52.76,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/671479458,15880000.0,1.0,монолитный,2023.0,,,39.7,,совмещенный,,,,
https://krisha.kz//a/show/671488196,20160000.0,1.0,монолитный,2023.0,,,48.0,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/669567632,70500000.0,4.0,кирпичный,2024.0,,,150.0,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/666677907,35872000.0,3.0,монолитный,2023.0,,,94.4,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/666337434,8061500.0,1.0,монолитный,2022.0,,,35.05,,совмещенный,,,,
https://krisha.kz//a/show/669874527,19780000.0,1.0,монолитный,2023.0,,,43.0,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/692140335,26500000.0,2.0,кирпичный,2018.0,5.0,9.0,66.6,лоджия,,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/691106288,120000000.0,3.0,монолитный,2021.0,8.0,8.0,116.0,,,,,, Есильский р-н
https://krisha.kz//a/show/691366243,24000000.0,2.0,монолитный,2016.0,1.0,14.0,50.2,,,,,, Есильский р-н
https://krisha.kz//a/show/692618566,28500000.0,2.0,монолитный,2019.0,5.0,7.0,74.2,лоджия,,3.15,,хорошее, Нура р-н
https://krisha.kz//a/show/48622766,7256500.0,1.0,кирпичный,2023.0,,,31.55,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/57186258,9162400.0,1.0,кирпичный,2023.0,,,35.24,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/688421085,11022900.0,1.0,кирпичный,2024.0,,,38.01,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/685378114,20189250.0,2.0,монолитный,2024.0,,,49.85,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/682852343,50000000.0,4.0,монолитный,2005.0,1.0,16.0,112.0,балкон,,2.7,,хорошее, Есильский р-н
https://krisha.kz//a/show/691931572,19500000.0,2.0,кирпичный,2022.0,1.0,11.0,39.0,балкон,совмещенный,3.0,,хорошее, Нура р-н
https://krisha.kz//a/show/692205531,25258467.0,2.0,кирпичный,2024.0,,,57.45,,совмещенный,,,, Сарыарка р-н
https://krisha.kz//a/show/691924178,150007500.0,5.0,монолитный,2024.0,,,200.01,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/691961885,19240000.0,2.0,кирпичный,2023.0,,,52.0,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/691711675,43599600.0,4.0,монолитный,2024.0,,,99.09,,раздельный,,,, Есильский р-н
https://krisha.kz//a/show/691213117,111504000.0,3.0,монолитный,2023.0,,,161.6,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/691592299,8397600.0,1.0,кирпичный,2025.0,,,34.99,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/692469654,25000000.0,4.0,монолитный,1970.0,3.0,5.0,57.1,,,,,, р-н Байконур
https://krisha.kz//a/show/689938404,42510000.0,3.0,монолитный,2022.0,,,109.0,,раздельный,,,, Сарыарка р-н
https://krisha.kz//a/show/689864936,20284000.0,1.0,монолитный,2024.0,,,46.1,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/675496670,30855920.0,2.0,монолитный,2023.0,,,60.74,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/689253109,21420000.0,2.0,монолитный,2024.0,,,63.0,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/689288593,50028330.0,4.0,монолитный,2024.0,,,133.33,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/689193283,54959700.0,3.0,монолитный,2025.0,,,109.7,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/689144129,53151200.0,3.0,монолитный,2023.0,,,91.64,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/689194027,22910550.0,2.0,монолитный,2024.0,,,60.45,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688589233,30020000.0,3.0,монолитный,2024.0,,,80.0,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/688570021,23974020.0,2.0,монолитный,2024.0,,,50.26,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688393750,61687680.0,3.0,монолитный,2024.0,,,115.52,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/688329365,22993980.0,2.0,монолитный,2024.0,,,56.22,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688329610,81378150.0,4.0,монолитный,2024.0,,,136.77,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/688329504,23411730.0,2.0,монолитный,2024.0,,,47.36,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688475681,20207250.0,1.0,монолитный,2024.0,,,38.49,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688329729,27332640.0,2.0,монолитный,2024.0,,,63.27,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/687985253,39663000.0,3.0,монолитный,2024.0,,,88.14,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/687812856,28688750.0,3.0,монолитный,2024.0,,,73.75,,,,,, Есильский р-н
https://krisha.kz//a/show/687637478,22476300.0,2.0,монолитный,2023.0,,,48.65,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/687604344,69309240.0,4.0,монолитный,2021.0,,,126.94,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687829810,62782800.0,3.0,монолитный,2024.0,,,111.12,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687325901,27035000.0,2.0,кирпичный,2024.0,,,54.07,,,,,, Нура р-н
https://krisha.kz//a/show/687015013,19819400.0,1.0,монолитный,2024.0,,,48.34,,,,,, Нура р-н
https://krisha.kz//a/show/686616904,31960470.0,2.0,монолитный,2024.0,,,71.58,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/685968298,54159046.0,3.0,монолитный,2024.0,,,91.0,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/685955078,28204000.0,2.0,монолитный,2024.0,,,64.1,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/687240593,25663050.0,3.0,монолитный,2024.0,,,81.47,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/685040094,23573400.0,2.0,монолитный,2024.0,,,46.68,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/684999478,27865810.0,3.0,монолитный,2024.0,,,75.11,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/684969695,40553010.0,3.0,кирпичный,2024.0,,,95.87,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687691697,102074650.0,4.0,монолитный,2024.0,,,146.87,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/683999306,13140400.0,1.0,кирпичный,2024.0,,,46.93,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/691048367,41700000.0,4.0,монолитный,2023.0,,,109.8,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/682920203,21238400.0,2.0,кирпичный,2024.0,,,66.37,,совмещенный,,,,
https://krisha.kz//a/show/692276499,64440450.0,2.0,монолитный,2023.0,,,80.45,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/690842741,14968800.0,1.0,монолитный,2022.0,,,34.65,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/680906997,53900000.0,3.0,монолитный,2023.0,,,92.13,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/679156762,46244000.0,3.0,монолитный,2022.0,,,105.1,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/678646981,46192500.0,4.0,кирпичный,2024.0,,,102.65,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/679141265,22962735.0,1.0,монолитный,2022.0,,,45.18,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/678641379,42814170.0,3.0,монолитный,2023.0,,,75.51,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/687844368,50974275.0,2.0,монолитный,2023.0,,,75.35,,2 с/у и более,,,,
https://krisha.kz//a/show/678477501,31386250.0,2.0,кирпичный,2023.0,,,73.85,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/678811629,17066400.0,2.0,монолитный,2023.0,,,43.76,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/677885334,29236200.0,2.0,монолитный,2022.0,,,69.61,,,,,, Нура р-н
https://krisha.kz//a/show/677730590,25456000.0,3.0,монолитный,2022.0,,,68.8,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/679184613,41244000.0,3.0,монолитный,2023.0,,,98.2,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/679404666,22463550.0,2.0,монолитный,2024.0,,,56.34,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/684783597,23809500.0,2.0,кирпичный,2023.0,,,64.35,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/674013899,31620000.0,3.0,монолитный,2024.0,,,79.05,,2 с/у и более,,,, Сарыарка р-н
https://krisha.kz//a/show/673847170,48600000.0,4.0,монолитный,2023.0,,,108.0,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/673232345,27080000.0,2.0,монолитный,2022.0,,,67.7,,2 с/у и более,,,, Алматы р-н
https://krisha.kz//a/show/673201585,17440000.0,2.0,монолитный,2024.0,,,54.5,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/672195361,35735058.0,3.0,монолитный,2023.0,,,95.23,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/671479461,24726000.0,2.0,монолитный,2023.0,,,63.4,,совмещенный,,,,
https://krisha.kz//a/show/671488200,39900000.0,3.0,монолитный,2023.0,,,105.0,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/669878838,20930000.0,1.0,монолитный,2023.0,,,45.5,,совмещенный,,,, Алматы р-н
https://krisha.kz//a/show/669567634,85540000.0,5.0,кирпичный,2024.0,,,182.0,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/689190775,44809900.0,2.0,монолитный,2022.0,,,82.22,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/666337435,8480100.0,1.0,монолитный,2022.0,,,36.87,,совмещенный,,,,
https://krisha.kz//a/show/665712213,29594400.0,2.0,монолитный,2022.0,,,64.9,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/665869919,29687560.0,2.0,монолитный,2025.0,,,64.12,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/690720461,35342800.0,2.0,монолитный,2024.0,,,59.6,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/684900290,66418020.0,4.0,монолитный,2024.0,,,120.98,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/665990149,23838480.0,1.0,монолитный,2023.0,,,43.95,,совмещенный,,,, Есильский р-н
https://krisha.kz//a/show/692553356,230000000.0,4.0,монолитный,2019.0,3.0,6.0,210.0,,,3.0,,,
https://krisha.kz//a/show/679195156,32000000.0,2.0,монолитный,2018.0,8.0,8.0,65.0,,,,,хорошее, Есильский р-н
https://krisha.kz//a/show/692089991,41000000.0,3.0,монолитный,2007.0,4.0,9.0,72.0,,совмещенный,2.7,,, Есильский р-н
https://krisha.kz//a/show/692230928,13800000.0,1.0,монолитный,2011.0,1.0,22.0,35.5,,,3.0,,хорошее, Алматы р-н
https://krisha.kz//a/show/689715202,47000000.0,3.0,монолитный,2014.0,6.0,16.0,99.7,несколько балконов или лоджий,,3.0,,хорошее, Алматы р-н
https://krisha.kz//a/show/692097026,53000000.0,3.0,,2009.0,7.0,9.0,95.0,,2 с/у и более,,,хорошее, Есильский р-н
https://krisha.kz//a/show/684031188,32900000.0,2.0,монолитный,2023.0,1.0,17.0,65.0,,,3.0,,, Есильский р-н
https://krisha.kz//a/show/692429946,100000000.0,3.0,монолитный,2006.0,1.0,15.0,134.0,балкон,,5.5,,среднее, Есильский р-н
https://krisha.kz//a/show/691894464,19000000.0,1.0,кирпичный,2014.0,4.0,9.0,39.0,балкон,,2.8,,хорошее, Сарыарка р-н
https://krisha.kz//a/show/692347819,15000000.0,1.0,кирпичный,1990.0,5.0,5.0,36.4,лоджия,совмещенный,,,хорошее, Алматы р-н
https://krisha.kz//a/show/692038559,44000000.0,3.0,монолитный,2023.0,9.0,16.0,93.09,лоджия,,2.7,,хорошее, Нура р-н
https://krisha.kz//a/show/689284523,55000000.0,4.0,монолитный,2011.0,1.0,19.0,133.1,балкон и лоджия,2 с/у и более,2.9,,, Алматы р-н
https://krisha.kz//a/show/691999071,21500000.0,1.0,,2023.0,,,35.0,,совмещенный,3.0,,, Нура р-н
https://krisha.kz//a/show/684031141,35500000.0,2.0,кирпичный,2020.0,9.0,10.0,56.0,,,3.0,,хорошее, Есильский р-н
https://krisha.kz//a/show/692398457,28200000.0,2.0,монолитный,2018.0,6.0,22.0,54.7,балкон и лоджия,,2.8,,хорошее, Есильский р-н
https://krisha.kz//a/show/692028998,22000000.0,1.0,монолитный,2012.0,2.0,12.0,44.8,балкон,,2.7,,хорошее, Есильский р-н
https://krisha.kz//a/show/686946636,63200000.0,3.0,монолитный,2016.0,2.0,33.0,95.0,лоджия,,,,хорошее, Алматы р-н
https://krisha.kz//a/show/688238449,51000000.0,3.0,монолитный,2015.0,1.0,19.0,140.0,балкон,,3.0,,хорошее, Алматы р-н
https://krisha.kz//a/show/692160484,22000000.0,2.0,кирпичный,2016.0,3.0,9.0,59.9,,раздельный,,,, Алматы р-н
https://krisha.kz//a/show/690777720,29999999.0,2.0,монолитный,2009.0,5.0,12.0,70.0,несколько балконов или лоджий,,2.7,,хорошее, Сарыарка р-н
https://krisha.kz//a/show/680653076,35000000.0,4.0,,1992.0,5.0,9.0,74.0,,раздельный,2.7,,среднее, р-н Байконур
https://krisha.kz//a/show/682002939,35000000.0,2.0,монолитный,2022.0,2.0,9.0,63.6,лоджия,совмещенный,2.8,,хорошее, Есильский р-н
https://krisha.kz//a/show/690924678,64000000.0,3.0,кирпичный,2000.0,1.0,13.0,107.0,несколько балконов или лоджий,2 с/у и более,3.0,,хорошее, Сарыарка р-н
https://krisha.kz//a/show/692462097,48000000.0,3.0,кирпичный,2022.0,8.0,16.0,83.0,балкон и лоджия,,2.8,,хорошее, Алматы р-н
https://krisha.kz//a/show/692088979,25200000.0,2.0,кирпичный,2019.0,1.0,5.0,64.0,несколько балконов или лоджий,раздельный,2.7,,хорошее, Есильский р-н
https://krisha.kz//a/show/692125673,23300000.0,2.0,монолитный,2019.0,8.0,9.0,40.0,,,3.0,,, Есильский р-н
https://krisha.kz//a/show/692054190,36000000.0,2.0,монолитный,2016.0,4.0,8.0,70.6,лоджия,,3.0,,хорошее, Есильский р-н
https://krisha.kz//a/show/692493716,53000000.0,3.0,кирпичный,2011.0,9.0,9.0,85.0,балкон,,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/692177282,27100000.0,2.0,монолитный,2018.0,9.0,14.0,58.7,,,2.7,,,
https://krisha.kz//a/show/690722937,41500000.0,3.0,иное,2005.0,4.0,9.0,92.0,,,,,хорошее, Алматы р-н
https://krisha.kz//a/show/691355652,22500000.0,1.0,кирпичный,2020.0,9.0,9.0,33.0,,,3.0,,, Нура р-н
https://krisha.kz//a/show/692238684,23000000.0,1.0,монолитный,2022.0,7.0,24.0,41.4,лоджия,совмещенный,2.8,,, Сарыарка р-н
https://krisha.kz//a/show/692122869,52000000.0,3.0,монолитный,2007.0,9.0,9.0,150.0,балкон,,3.0,,хорошее, Нура р-н
https://krisha.kz//a/show/691694626,32900000.0,2.0,кирпичный,2008.0,2.0,10.0,74.0,лоджия,раздельный,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/691258190,37800000.0,3.0,кирпичный,2011.0,9.0,10.0,85.1,лоджия,раздельный,3.0,,хорошее, р-н Байконур
https://krisha.kz//a/show/692011889,35000000.0,2.0,кирпичный,2017.0,6.0,6.0,45.8,,,3.0,,хорошее, Есильский р-н
https://krisha.kz//a/show/692055999,43500000.0,3.0,иное,2019.0,3.0,5.0,74.3,лоджия,,2.7,,хорошее, Есильский р-н
https://krisha.kz//a/show/688421087,11495600.0,1.0,кирпичный,2024.0,,,39.64,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/685378112,21112650.0,2.0,монолитный,2024.0,,,52.13,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/692243743,31500000.0,1.0,монолитный,2020.0,1.0,12.0,44.4,,,3.0,,хорошее, Нура р-н
https://krisha.kz//a/show/686527961,47000000.0,4.0,монолитный,2014.0,1.0,15.0,125.0,несколько балконов или лоджий,,2.7,,требует ремонта, Есильский р-н
https://krisha.kz//a/show/692461043,17900000.0,1.0,монолитный,2004.0,7.0,9.0,39.0,,совмещенный,2.75,,хорошее, Алматы р-н
https://krisha.kz//a/show/687126521,38500000.0,2.0,монолитный,2008.0,8.0,10.0,82.0,лоджия,,2.8,,хорошее,
https://krisha.kz//a/show/681919448,17500000.0,1.0,кирпичный,2010.0,8.0,9.0,35.4,балкон,,2.8,,хорошее, Алматы р-н
https://krisha.kz//a/show/689874465,41500000.0,2.0,кирпичный,2019.0,5.0,9.0,84.1,лоджия,,3.0,,хорошее, Сарыарка р-н
https://krisha.kz//a/show/691866470,43000000.0,2.0,монолитный,2019.0,1.0,18.0,55.0,,,3.0,,хорошее, Есильский р-н
https://krisha.kz//a/show/691933073,24500000.0,2.0,монолитный,2016.0,1.0,13.0,48.0,лоджия,,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/691348692,39800000.0,3.0,монолитный,2014.0,8.0,10.0,97.0,балкон,2 с/у и более,2.7,,, Алматы р-н
https://krisha.kz//a/show/692371994,29000000.0,2.0,монолитный,2016.0,1.0,18.0,58.0,несколько балконов или лоджий,,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/691298434,38000000.0,2.0,монолитный,2023.0,1.0,19.0,50.0,лоджия,,3.0,,хорошее,
https://krisha.kz//a/show/691698079,45000000.0,2.0,монолитный,2019.0,1.0,17.0,69.5,лоджия,,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/692249721,48500000.0,3.0,монолитный,2016.0,7.0,13.0,97.0,балкон,,3.0,,хорошее, Есильский р-н
https://krisha.kz//a/show/692258719,53000000.0,4.0,монолитный,2007.0,1.0,16.0,139.1,балкон и лоджия,,3.0,,хорошее, Сарыарка р-н
https://krisha.kz//a/show/689587353,26900000.0,4.0,кирпичный,1987.0,5.0,5.0,78.2,лоджия,раздельный,2.6,,хорошее, р-н Байконур
https://krisha.kz//a/show/679245055,145000000.0,4.0,иное,2015.0,5.0,6.0,156.0,,,3.2,,хорошее, Есильский р-н
https://krisha.kz//a/show/692552906,20800000.0,1.0,монолитный,2023.0,1.0,15.0,44.5,лоджия,,3.0,,хорошее, Алматы р-н
https://krisha.kz//a/show/692350799,22000000.0,2.0,кирпичный,2020.0,7.0,9.0,45.0,,,3.0,,, Нура р-н
https://krisha.kz//a/show/663882339,63000000.0,4.0,монолитный,2008.0,4.0,18.0,151.2,лоджия,,3.0,,хорошее, р-н Байконур
https://krisha.kz//a/show/691978430,13500000.0,1.0,кирпичный,2024.0,6.0,12.0,37.0,,,2.8,,черновая отделка, Алматы р-н
https://krisha.kz//a/show/675578427,22700000.0,2.0,монолитный,2011.0,5.0,12.0,64.0,балкон,раздельный,2.7,,хорошее, Алматы р-н
https://krisha.kz//a/show/691137831,57000000.0,2.0,монолитный,2018.0,8.0,8.0,93.0,балкон,совмещенный,3.0,,, Есильский р-н
https://krisha.kz//a/show/692455508,31000000.0,2.0,монолитный,2015.0,1.0,17.0,66.0,,,,,, Есильский р-н
